Comuna_Establecimiento;LATITUD;LONGITUD;Cuenta de NOM_ESTAB;Matriculas
BUIN_LICEO FRANCISCO JAVIER KRUGGER ALVARADO;-33.76263174;-70.73678395;55;55
BUIN_LICEO POLIVALENTE MODERNO CARDENAL CARO;-33.72792376;-70.74785371;311;311
BUIN_MI MUNDO A COLORES DE LINDEROS;-33.753263;-70.739466;87;87
BUIN_MI PEQUEÑO MUNDO;-33.776833;-70.795525;59;59
BUIN_MUNDO ENCANTADO;-33.722184;-70.743867;51;51
BUIN_PAPA JUAN PABLO II;-33.811839;-70.860158;46;46
BUIN_RIBERA SUR;-33.663868;-70.663711;60;60
BUIN_RINCONCITO DE LUZ;-33.72214503;-70.74351995;29;29
CALERA DE TANGO_COLEGIO INSTITUTO CALERA DE TANGO;-33.635838;-70.786064;30;30
CALERA DE TANGO_COLEGIO LA MISION;-33.625495;-70.78140999;124;124
CALERA DE TANGO_COLEGIO SAN ANDRES DE CALERA DE TANGO;-33.621468;-70.80203;14;14
CALERA DE TANGO_COLEGIO SAN BARTOLOME DE NOS;-33.631631;-70.75167999;19;19
CALERA DE TANGO_COLEGIO SAN FELIPE DIACONO;-33.608375;-70.79016;117;117
CALERA DE TANGO_EL MAITN;-33.608573;-70.791353;102;102
CALERA DE TANGO_EL REFUGIO;-33.63168;-70.761614;109;109
CALERA DE TANGO_ESCUELA BASICA F-N°798 CALERA DE TANGO;-33.63701713;-70.81222029;74;74
CALERA DE TANGO_ESCUELA ESPECIAL AMIGOS DEL BOSQUE;-33.64499699;-70.77634999;57;57
CALERA DE TANGO_ESCUELA ESPECIAL ANTUMALEN N°202;-33.63210999;-70.76287;75;75
CALERA DE TANGO_ESCUELA ESPECIAL PARTICULAR KIMANTU;-33.58576999;-70.77061999;66;66
CALERA DE TANGO_ESCUELA PARTICULAR SAN IGNACIO;-33.63710839;-70.80289672;72;72
CALERA DE TANGO_GIRASOLES;-33.6310022;-70.81959724;13;13
CALERA DE TANGO_LAS ESTRELLITAS;-33.640547;-70.766433;45;45
CALERA DE TANGO_LICEO LONQUEN;-33.60713319;-70.7892535;79;79
CALERA DE TANGO_LICEO MUNICIPAL POETISA GABRIELA MISTRAL;-33.63056435;-70.76014643;45;45
CALERA DE TANGO_MANITOS DE ANGEL;-33.61089;-70.81857;46;46
CERRILLOS_ANGEL FANTUZZI;-33.514075;-70.701873;71;71
CERRILLOS_CARDENAL RAUL SILVA HENRIQUEZ;-33.480306;-70.719033;101;101
CERRILLOS_CAROLITA;-33.502686;-70.721988;36;36
CERRILLOS_COLEGIO LOS CONQUISTADORES;-33.50895698;-70.72668105;113;113
CERRILLOS_COLEGIO PARTICULAR ESPECIAL JUAN XXIII;-33.500835;-70.726006;49;49
CERRILLOS_COLEGIO PARTICULAR MATER DEI;-33.50068911;-70.71193513;35;35
CERRILLOS_COLEGIO PETER COLLEGE;-33.50262316;-70.72587956;26;26
CERRILLOS_COLEGIO SAINT MAURICE S;-33.50235159;-70.72849209;94;94
CERRILLOS_COLEGIO SAN JOSE DE CERRILLOS;-33.50147308;-70.71721005;43;43
CERRILLOS_CONDORES DE PLATA;-33.49380997;-70.71814998;94;94
CERRILLOS_EJERCITO LIBERTADOR DE CERRILLOS;-33.48898782;-70.72318235;71;71
CERRILLOS_EL MIRADOR;-33.500448;-70.733124;85;85
CERRILLOS_ESC. BAS.SAN AGUSTIN DE CERRILLOS;-33.50110781;-70.7221557;11;11
CERRILLOS_ESCUELA BAS. AKORI;-33.49922901;-70.72107247;57;57
CERRILLOS_ESCUELA BASICA CAMPOS DE MAIPU-CERRILLOS;-33.49900348;-70.72373738;137;137
CERRILLOS_ESCUELA BASICA CONDORES DE PLATA;-33.49381185;-70.71815383;36;36
CERRILLOS_ESCUELA BASICA PEDRO AGUIRRE CERDA;-33.48183895;-70.69316402;60;60
CERRILLOS_ESCUELA CERRILLOS;-33.49396474;-70.71027254;59;59
