"","Comuna","subsidiada","decil","escolaridad","ingreso","mater_aceptable","sanea_aceptable","calidad_aceptable","sin_allega_int","sin_allega_ext","sin_hacina"
"37","Valparaíso",1.06383480030578,-0.666666666666667,0.114043067866689,-0.174542412612377,0.200533940381159,-0.0109757962164018,0.367060967036425,0.0966604353877674,-0.011789069183011,0.043150746880055
"38","Casablanca",-0.239253392064661,-0.166666666666667,0.125721804879528,0.225564451630666,0.43809023227898,0.0449151367459571,0.457934896168541,-0.0553905935435335,-0.0186821678753657,0.0738526628019226
"39","Concón",0.463115352896784,4,0.0448493303802642,-0.140895738021998,0.0804040806351674,-0.0516780006383031,0.0500322365288649,-0.132851748529397,-0.0130306546959791,-0.0290576639815934
"40","Puchuncaví",3.05902159777146,2.5,0.0318183343298302,-0.109154150334635,0.249475529753845,0.00931317675553004,0.128894077638582,0.0328947910489156,0.00853429882976665,0.00207633368396933
"41","Quintero",0.521885129330377,-0.25,0.151274126907198,0.277287085453348,0.47248737524632,0.00325432059263519,0.141803329520923,0.139687893957696,-0.0599945835020127,0.217678845376481
"42","Viña del Mar",-0.212422860381081,-0.7,0.108195540216959,0.56423048738925,0.162456083457212,0.0703530422617383,0.16537965202852,-0.00909821666643998,0.00139795499597974,0.0578214523694142
"43","Los Andes",-0.153656747192887,0.428571428571428,0.0385254654537044,-0.256064619116656,0.0368919610146332,0.00581412431457183,0.0453029504910958,0.0998005546208904,-0.023431991464366,0.117928614489809
"44","Calle Larga",0.140545144804089,1,0.0651665298826232,-0.269724981662064,0.202474902030555,0.111077775596548,0.223927322366435,0.0372447516261604,0.0150905104960921,0.0247835340293559
"45","Rinconada",0.19753946310429,0.5,0.092408068300324,-0.152658811926459,0.581539602437547,0.124721478681374,0.494283494416515,-0.061646875811994,0.00184505480759507,0.163002841333931
"46","San Esteban",-0.211856567210104,1,0.0806215536415279,-0.233667995767217,0.0338243402924408,0.128607488017871,0.210414616243817,0.0442956284889953,0.0131154890274209,-0.000980655158442245
"47","La Ligua",-0.0307251359820981,1,0.110740431364835,0.170136691160228,0.401195735751893,0.0888719695927036,0.390500983645674,0.0255143997653021,0.000840426607208244,0.0449391717508801
"48","Cabildo",-0.35184038425773,4,0.155071644729568,0.0704490521248474,0.260384191907377,-0.0447815352073136,0.186923075439344,0.323083721595944,-0.0253027983107447,0.0575459008886188
